Year,Team,Totals,TD,YDS,AVG,LG,NO,FC,BL,TB,I20,RYDS,NYDS,NET,G20+,G40+,FUM,OOB,DN,OB,RET,RETY,OSA,OSR
1964,lten,Team Totals,,3363,45.4,74,74,,0,13,,559,2544,34.4,,,,,,,,,,
1964,lten,Opponents Totals,,2490,42.2,75,59,,0,3,,193,2237,37.9,,,,,,,,,,
1964,dul,Team Totals,,2464,41.8,64,59,,0,6,,175,2169,36.8,,,,,,,,,,
1964,dul,Opponents Totals,,3215,44.0,68,73,,0,,,453,,,,,,,,,,,,
1964,atl,Team Totals,,2365,42.2,61,56,,0,6,,397,1848,33.0,,,,,,,,,,
1964,atl,Opponents Totals,,3131,43.5,66,72,,0,4,,443,2608,36.2,,,,,,,,,,
1964,ham,Team Totals,,3341,46.4,73,72,,0,5,26,247,2994,41.6,,,,,,,,,,
1964,ham,Opponents Totals,,3110,43.8,66,71,,0,8,8,306,2644,37.2,,,,,,,,,,
1964,jac,Team Totals,,3107,45.7,74,68,,0,,,243,,,,,,,,,,,,
1964,jac,Opponents Totals,,2902,44.0,,66,,,,,411,,,,,,,,,,,,
1964,lind,Team Totals,,3616,44.1,58,82,,0,5,,360,3156,38.5,,,,,,,,,,
1964,lind,Opponents Totals,,3291,45.1,,73,,,,,181,,,,,,,,,,,,
1964,was,Team Totals,,3161,44.5,62,71,,0,,,436,,,,,,,,,,,,
1964,was,Opponents Totals,,2888,46.6,,62,,,,,219,,,,,,,,,,,,
1964,col,Team Totals,,3599,45.6,68,79,,0,,,540,,,,,,,,,,,,
1964,col,Opponents Totals,,3478,45.8,74,76,,0,,,322,,,,,,,,,,,,
1965,lkc,Team Totals,,3153,45.7,71,69,,0,10,,259,2694,39.0,,,,,,,,,,
1965,lkc,Opponents Totals,,2838,41.1,69,69,,0,4,,427,2331,33.8,,,,,,,,,,
1965,har,Team Totals,,3015,41.3,58,73,,0,,,139,,,,,,,,,,,,
1965,har,Opponents Totals,,3043,42.9,64,71,,1,8,20,312,2571,36.7,,,,,,,,,,
1965,llarm,Team Totals,,2535,41.6,67,61,,0,5,,137,2298,37.7,,,,,,,,,,
1965,llarm,Opponents Totals,,1921,42.7,58,45,,0,3,,35,1826,40.6,,,,,,,,,,
1965,min,Team Totals,,2947,42.1,72,70,,1,,,138,,,,,,,,,,,,
1965,min,Opponents Totals,,2992,43.4,,69,,,,,415,,,,,,,,,,,,
1965,larm,Team Totals,,2364,42.2,60,56,,0,,,263,,,,,,,,,,,,
1965,larm,Opponents Totals,,2257,41.8,72,54,,0,,,183,,,,,,,,,,,,
1965,bal,Team Totals,,2710,40.4,62,67,,1,,,267,,,,,,,,,,,,
1965,bal,Opponents Totals,,2816,43.3,,65,,,,,27,,,,,,,,,,,,
1965,lten,Team Totals,,3518,45.1,69,78,,1,,,437,,,,,,,,,,,,
1965,lten,Opponents Totals,,3204,42.2,,76,,,,,259,,,,,,,,,,,,
1965,dul,Team Totals,,3176,42.9,90,74,,0,13,,290,2626,35.5,,,,,,,,,,
1965,dul,Opponents Totals,,2523,42.1,63,60,,0,5,,65,2358,39.3,,,,,,,,,,
1965,atl,Team Totals,,2219,39.6,66,56,,0,1,,198,2001,35.7,,,,,,,,,,
1965,atl,Opponents Totals,,3119,43.9,65,71,,0,,,421,,,,,,,,,,,,
1965,ham,Team Totals,,2479,42.7,66,58,,0,,,123,,,,,,,,,,,,
1965,ham,Opponents Totals,,2747,42.3,,65,,,,,289,,,,,,,,,,,,
1965,jac,Team Totals,,2471,45.8,65,54,,0,,,408,,,,,,,,,,,,
1965,jac,Opponents Totals,,2599,41.9,90,62,,0,,,283,,,,,,,,,,,,
1965,lind,Team Totals,,2146,42.1,61,51,,0,3,5,261,1825,35.8,,,,,,,,,,
1965,lind,Opponents Totals,,2445,38.2,55,64,,1,3,9,115,2270,36.0,,,,,,,,,,
1965,was,Team Totals,,3335,42.8,69,78,,0,,,318,,,,,,,,,,,,
1965,was,Opponents Totals,,3175,42.9,,74,,,,,358,,,,,,,,,,,,
1965,col,Team Totals,,2618,39.7,56,66,,1,,,176,,,,,,,,,,,,
1965,col,Opponents Totals,,2997,45.4,,66,,,,,225,,,,,,,,,,,,
1966,lkc,Team Totals,,2551,39.2,58,65,,1,3,14,108,2383,37.2,,,,,,,,,,
1966,lkc,Opponents Totals,,3349,42.4,67,79,,0,3,21,258,3031,38.4,,,,,,,,,,
1966,har,Team Totals,,2223,39.0,60,57,,0,6,,111,1992,34.9,,,,,,,,,,
1966,har,Opponents Totals,,2224,39.7,56,56,,0,2,,146,2038,36.4,,,,,,,,,,
1966,llarm,Team Totals,,2588,39.8,63,65,,0,,,300,,,,,,,,,,,,
1966,llarm,Opponents Totals,,2394,39.9,54,60,,0,,,162,,,,,,,,,,,,
1966,min,Team Totals,,2881,35.6,56,81,,1,,,159,,,,,,,,,,,,
1966,min,Opponents Totals,,3458,40.7,,85,,,,,316,,,,,,,,,,,,
1966,larm,Team Totals,,2884,42.4,60,68,,0,,,248,,,,,,,,,,,,
